,Player,Game,Games Started,Minutes Played,Field Goals,Field Goals Attempted,Three Point Field Goals,Three Pointers Attempted,Two Point Field Goals,Two Pointers Attempted,Free Throws Made,Free Throws Attempted,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
0,A.J. Green,35,1,345,53,125,44,105,9,20,4,4,6,39,45,22,6,0,9,31,154
1,A.J. Hammons,22,0,163,17,42,5,10,12,32,9,20,8,28,36,4,1,13,10,21,48
2,A.J. Lawson,30,0,216,44,88,20,50,24,38,4,16,12,30,42,4,4,0,6,22,112
3,A.J. Price,287,25,4253,600,1581,233,747,367,834,223,303,74,335,409,613,132,9,243,252,1656
4,AJ Griffin,72,12,1401,248,533,101,259,147,274,42,47,37,116,153,73,42,12,42,87,639
5,Aaron Brooks,698,192,14671,2448,5954,887,2418,1561,3536,973,1161,284,880,1164,2180,416,100,1114,1351,6756
6,Aaron Gordon,646,557,18716,3265,6923,706,2168,2559,4755,1378,2015,1082,2958,4040,1677,476,420,987,1271,8614
7,Aaron Gray,270,74,3189,325,636,0,2,325,634,127,221,364,655,1019,164,78,72,217,544,777
8,Aaron Harrison,35,3,343,24,92,12,55,12,37,19,31,8,34,42,16,15,2,7,39,79
9,Aaron Henry,6,0,17,1,5,0,1,1,4,0,0,0,1,1,0,0,2,2,2,2
10,Aaron Holiday,371,77,6326,902,2157,311,824,591,1333,328,388,115,515,630,830,243,72,364,548,2443
11,Aaron Jackson,1,0,35,3,9,1,4,2,5,1,2,2,1,3,1,0,0,1,4,8
12,Aaron Nesmith,171,64,3059,402,950,186,537,216,413,162,196,105,388,493,143,90,48,129,392,1152
13,Aaron Wiggins,120,49,2506,342,700,90,260,252,440,121,156,119,269,388,148,69,25,109,203,895
14,Abdel Nader,202,8,2583,333,778,125,350,208,428,135,188,52,324,376,110,76,55,133,245,926
15,Acie Law,154,2,1920,232,522,22,104,210,418,170,226,30,130,160,220,86,2,120,154,656
16,Adam Mokoka,25,0,168,19,47,7,25,12,22,2,5,8,7,15,9,6,1,7,22,47
17,Adam Morrison,31,0,241,32,85,5,21,27,64,5,8,10,22,32,18,3,2,10,17,74
18,Ade Murkey,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Admiral Schofield,108,3,1288,144,343,69,214,75,129,43,53,47,151,198,71,20,14,44,169,400
20,Adonis Thomas,12,2,74,12,28,2,10,10,18,2,2,0,6,6,6,0,0,2,12,28
21,Adreian Payne,139,46,2142,265,649,16,68,249,581,96,143,127,350,477,96,64,36,134,291,642
22,Ahmad Caver,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
23,Al Harrington,253,19,6251,1176,2742,400,1170,776,1572,475,649,257,977,1234,337,177,49,391,682,3227
24,Al Horford,865,859,27737,5008,9758,754,2011,4254,7747,1241,1619,1615,5137,6752,3046,679,1016,1235,1785,12011
25,Al Jefferson,584,451,17112,4118,8298,8,49,4110,8249,1171,1623,1121,3743,4864,1009,415,684,688,1391,9415
26,Al Thornton,292,138,6924,1050,2214,30,114,1020,2100,526,706,344,670,1014,304,160,94,332,698,2656
27,Al-Farouq Aminu,734,459,18132,1986,4740,551,1671,1435,3069,929,1243,1004,3386,4390,910,697,406,891,1331,5452
28,Alan Anderson,277,59,5973,731,1822,302,885,429,937,352,431,117,495,612,318,164,27,236,521,2116
29,Alan Williams,67,0,872,163,322,0,2,163,320,87,139,115,256,371,39,37,38,51,155,413
30,Alando Tucker,30,0,192,34,78,2,14,32,64,32,42,12,8,20,8,0,0,10,12,102
31,Alec Burks,806,186,18630,2944,7043,940,2457,2004,4586,2027,2499,467,2418,2885,1695,577,178,982,1501,8855
32,Alec Peters,20,0,225,28,74,18,58,10,16,8,10,8,29,37,12,2,2,4,13,82
33,Aleem Ford,5,0,74,6,20,2,15,4,5,0,0,2,13,15,2,1,0,4,7,14
34,Aleksej Pokusevski,140,65,3024,433,1113,153,508,280,605,88,127,148,541,689,292,79,123,236,204,1107
35,Alen Smailagić,29,1,223,31,67,7,23,24,44,18,25,16,27,43,17,6,9,16,25,87
36,Alex Caruso,292,73,6206,612,1427,229,627,383,800,307,410,158,611,769,794,350,113,347,577,1760
37,Alex Kirk,5,0,14,1,4,0,0,1,4,2,2,1,0,1,1,0,0,0,1,4
38,Alex Len,715,291,12879,2046,3944,134,420,1912,3524,1049,1550,1280,2702,3982,600,271,673,801,1747,5275
39,Alex Poythress,52,2,566,76,161,19,53,57,108,26,39,47,75,122,24,10,13,18,77,197
40,Alex Stepheson,16,0,146,18,54,0,0,18,54,8,24,38,18,56,4,2,10,0,24,44
41,Alexey Shved,224,34,4038,578,1542,209,668,369,874,418,540,108,346,454,566,140,55,291,249,1783
42,Alexis Ajinça,296,74,4063,679,1347,24,74,655,1273,244,305,354,844,1198,150,106,194,255,700,1626
43,Alfonzo McKinnie,182,9,2113,287,615,84,258,203,357,63,108,154,300,454,57,51,27,71,266,721
44,Alize Johnson,99,1,735,93,197,5,26,88,171,39,57,105,184,289,41,20,10,44,74,230
45,Allen Crabbe,418,114,9778,1289,3065,653,1715,636,1350,394,476,120,1030,1150,467,238,108,302,811,3625
46,Allen Iverson*,56,48,1730,272,632,18,50,254,582,208,262,32,126,158,226,38,4,128,96,770
47,Allonzo Trier,88,4,1750,283,624,71,185,212,439,213,266,37,189,226,147,31,18,138,146,850
48,Alondes Williams,1,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0
49,Alonzo Gee,527,249,10851,1209,2759,216,658,993,2101,692,920,488,1148,1636,504,454,126,535,944,3326
50,Alperen Şengün,147,85,3660,691,1324,48,174,643,1150,371,520,380,691,1071,476,129,138,338,472,1801
51,Amar'e Stoudemire,471,294,12651,2900,5426,16,58,2884,5368,1719,2244,991,2089,3080,500,270,453,919,1355,7535
52,Amida Brimah,5,0,29,5,8,0,0,5,8,3,3,2,6,8,1,0,5,4,4,13
53,Amile Jefferson,30,0,142,15,30,0,0,15,30,12,22,16,28,44,7,4,6,4,15,42
54,Amir Coffey,181,41,2745,335,768,136,369,199,399,183,229,57,253,310,213,60,22,89,187,989
55,Amir Johnson,735,461,16485,2344,4119,105,316,2239,3803,804,1199,1516,2668,4184,1018,475,682,847,2240,5597
56,Anderson Varejão,373,144,8402,1086,2131,1,28,1085,2103,492,722,871,1784,2655,517,293,216,356,821,2665
57,Andray Blatche,326,127,8227,1664,3551,37,145,1627,3406,739,1003,664,1328,1992,539,364,231,624,783,4104
58,Andre Dawkins,4,0,22,1,6,1,6,0,0,0,0,0,2,2,1,0,0,1,3,3
59,Andre Drummond,961,768,26676,5303,9828,20,163,5283,9665,1988,4051,4036,8022,12058,1413,1271,1292,1928,2907,12614
60,Andre Emmett,6,0,45,4,7,0,1,4,6,5,8,2,4,6,1,2,1,2,2,13
61,Andre Iguodala,827,380,24162,2848,6221,749,2255,2099,3966,1218,1857,658,3093,3751,3389,1038,446,1251,1239,7663
62,Andre Ingram,6,0,79,8,23,5,12,3,11,3,3,2,6,8,7,4,3,4,3,24
63,Andre Miller,667,177,14502,1957,4190,95,390,1862,3800,1155,1419,445,1250,1695,3072,507,71,1123,1080,5164
64,Andre Roberson,307,269,6801,573,1211,112,443,461,768,124,265,362,868,1230,265,268,199,185,658,1382
65,Andrea Bargnani,329,263,9863,1954,4368,318,951,1636,3417,902,1100,358,1224,1582,420,118,283,521,705,5128
66,Andrei Kirilenko,238,165,6607,863,1749,98,312,765,1437,634,877,335,772,1107,600,301,226,370,363,2458
67,Andrew Bogut,471,428,11995,1705,3204,2,11,1703,3193,357,698,1091,2950,4041,934,270,841,714,1413,3769
68,Andrew Bynum,231,210,6621,1261,2347,1,6,1260,2341,639,906,645,1403,2048,284,93,374,409,499,3162
69,Andrew Goudelock,49,0,475,77,196,29,84,48,112,14,16,7,27,34,24,10,2,28,36,197
70,Andrew Harrison,162,64,3174,330,895,100,348,230,547,306,389,58,249,307,423,99,51,190,400,1066
71,Andrew Nembhard,75,63,2073,284,644,92,263,192,381,49,62,35,164,199,341,70,13,126,179,709
72,Andrew Nicholson,323,36,4422,751,1628,92,298,659,1330,206,269,203,715,918,136,90,101,229,513,1800
73,Andrew White,15,0,209,25,73,18,49,7,24,1,4,4,30,34,6,3,1,8,12,69
74,Andrew Wiggins,689,689,23984,4971,11072,1037,2951,3934,8121,2348,3264,866,2243,3109,1676,685,480,1371,1532,13327
75,Andris Biedriņš,198,128,3439,273,489,0,0,273,489,20,84,289,742,1031,147,110,183,119,547,566
76,Andrés Nocioni,140,46,2464,357,884,139,373,218,511,126,171,52,353,405,121,47,42,119,264,979
77,Andy Rautins,5,0,24,3,7,1,4,2,3,1,2,0,1,1,3,1,0,7,0,8
78,Anfernee Simons,273,97,6546,1230,2842,596,1541,634,1301,394,460,86,531,617,673,117,38,358,492,3450
79,Antawn Jamison,351,237,10689,2047,4659,444,1298,1603,3361,856,1266,599,1711,2310,449,282,140,409,812,5394
80,Ante Žižić,113,27,1517,273,470,0,0,273,470,128,180,150,296,446,64,22,40,82,170,674
81,Anthony Bennett,151,4,1905,251,641,36,138,215,503,120,179,132,340,472,77,58,27,99,206,658
82,Anthony Brown,52,11,921,76,227,35,125,41,102,17,20,25,111,136,36,24,7,27,64,204
83,Anthony Carter,144,7,1994,183,446,46,160,137,286,35,39,36,188,224,332,101,29,153,190,447
84,Anthony Davis,660,653,22709,5917,11396,311,1038,5606,10358,3696,4661,1713,5152,6865,1562,883,1527,1301,1565,15841
85,Anthony Edwards,223,206,7622,1761,3997,599,1700,1162,2297,750,974,168,969,1137,836,312,140,609,479,4871
86,Anthony Gill,129,12,1305,163,301,25,79,138,222,104,135,86,149,235,72,22,27,41,155,455
87,Anthony Johnson,31,0,406,49,111,13,39,36,72,19,20,8,40,48,63,11,1,26,32,130
88,Anthony Lamb,88,7,1618,194,434,96,272,98,162,64,81,83,203,286,121,34,25,73,168,548
89,Anthony Morrow,587,133,11862,1863,4243,778,1929,1085,2314,582,658,254,823,1077,452,318,66,342,854,5086
90,Anthony Parker,204,197,5660,567,1353,244,626,323,727,184,246,73,514,587,495,168,35,201,325,1562
91,Anthony Randolph,229,24,3302,601,1327,21,83,580,1244,372,506,250,625,875,171,130,174,271,377,1595
92,Anthony Tolliver,888,158,17720,1866,4497,1061,2866,805,1631,827,1070,702,2383,3085,821,342,274,586,1494,5620
93,Antoine Wright,74,10,1423,163,407,58,177,105,230,53,77,40,153,193,71,31,11,59,137,437
94,Antonio Anderson,1,0,15,1,3,0,0,1,3,0,0,1,0,1,0,0,0,1,1,2
95,Antonio Blakeney,76,3,1143,219,539,51,143,168,396,80,115,11,128,139,62,19,10,46,60,569
96,Antonio Daniels,4,0,35,2,5,0,2,2,3,2,2,0,5,5,2,0,0,1,0,6
97,Antonio McDyess,150,66,3004,374,772,0,3,374,769,88,134,271,579,850,167,79,71,151,310,836
98,Antonius Cleveland,45,0,292,20,56,6,11,14,45,11,17,8,27,35,5,15,13,16,54,57
99,Anžejs Pasečņiks,28,0,443,61,117,0,4,61,113,34,58,43,65,108,19,9,12,29,77,156
100,Archie Goodwin,180,15,2610,403,922,50,206,353,716,294,415,93,266,359,230,73,43,220,200,1150
101,Arinze Onuaku,24,1,156,16,28,0,0,16,28,5,12,13,30,43,12,1,4,6,15,37
102,Armon Johnson,56,0,525,86,187,7,18,79,169,25,34,13,49,62,67,15,1,50,49,204
103,Armoni Brooks,128,27,2208,274,770,208,655,66,115,43,54,50,224,274,154,68,27,76,182,799
104,Arnett Moultrie,59,2,729,94,172,0,0,94,172,22,33,87,93,180,12,25,14,26,65,210
105,Arnoldas Kulboka,2,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
106,Aron Baynes,522,168,8370,1243,2543,111,360,1132,2183,518,652,805,1591,2396,421,118,255,445,1164,3115
107,Arron Afflalo,691,592,21127,3128,6976,917,2383,2211,4593,1421,1713,295,1857,2152,1419,323,127,891,1421,8594
108,Ashton Hagans,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
109,Austin Daye,404,34,5300,731,1827,265,741,466,1086,237,307,174,815,989,279,146,148,261,619,1964
110,Austin Reaves,125,41,3261,405,808,139,383,266,425,328,383,78,308,386,325,62,39,139,195,1277
111,Austin Rivers,895,211,21294,2753,6602,987,2867,1766,3735,936,1445,282,1556,1838,1916,619,151,901,1896,7429
112,Avery Bradley,796,659,22091,3485,8119,1053,2902,2432,5217,710,903,470,1741,2211,1397,768,155,1086,1741,8733
113,Axel Toupane,37,1,460,39,99,16,50,23,49,18,24,8,31,39,19,11,11,6,58,112
114,Ayo Dosunmu,157,91,4208,559,1105,129,375,430,730,119,160,72,362,434,462,122,55,207,364,1366
115,B.J. Johnson,28,0,246,38,93,13,33,25,60,13,14,13,33,46,3,7,1,10,15,102
116,Bam Adebayo,418,314,12264,2358,4259,8,62,2350,4197,1422,1883,922,2616,3538,1429,428,370,895,1047,6146
117,Baron Davis,220,175,6416,1058,2585,270,859,788,1726,457,577,135,499,634,1515,316,102,579,557,2843
118,Ben Bentil,3,0,10,0,3,0,1,0,2,0,0,0,2,2,0,0,0,1,1,0
119,Ben Gordon,346,65,7888,1340,3162,401,1065,939,2097,631,741,108,547,655,676,190,52,586,651,3712
120,Ben Hansbrough,28,0,200,15,45,6,23,9,22,21,27,2,16,18,21,7,2,18,23,57
121,Ben McLemore,609,272,13439,1903,4635,965,2672,938,1963,650,836,237,1132,1369,602,376,115,650,1263,5421
122,Ben Moore,2,0,9,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4,0
123,Ben Simmons,317,308,10431,1917,3423,5,36,1912,3387,834,1411,563,1917,2480,2383,518,223,1022,916,4673
124,Ben Uzoh,78,16,1178,131,342,3,10,128,332,55,94,68,127,195,191,47,14,63,91,320
125,Ben Wallace*,185,127,4193,259,527,2,8,257,519,100,264,455,761,1216,220,187,189,142,272,620
126,Bennedict Mathurin,78,17,2222,413,951,100,310,313,641,376,454,87,231,318,116,48,13,152,162,1302
127,Beno Udrih,637,169,13959,2059,4403,330,945,1729,3458,727,866,235,1095,1330,2404,435,44,895,915,5175
128,Bernard James,92,13,761,76,153,0,3,76,150,51,75,85,127,212,13,17,61,34,105,203
129,Billy Garrett,4,0,63,11,27,0,8,11,19,4,4,0,3,3,7,1,1,2,3,26
130,Bismack Biyombo,799,324,15593,1579,2960,0,3,1579,2957,919,1654,1544,3198,4742,498,206,1040,724,1733,4077
131,Blake Ahearn,4,0,30,4,14,2,9,2,5,0,0,0,2,2,1,0,0,5,4,10
132,Blake Griffin,869,780,27540,6029,12395,719,2166,5310,10229,3483,4955,1595,5167,6762,3529,700,392,1959,2308,16260
133,Blake Wesley,37,1,669,69,215,20,52,49,163,26,44,11,70,81,99,25,5,65,67,184
134,Boban Marjanović,414,38,3829,921,1585,14,50,907,1535,591,772,530,1036,1566,224,85,132,300,480,2447
135,Bobby Brown,135,0,1276,218,592,77,271,141,321,29,34,18,71,89,201,35,2,106,95,542
136,Bobby Portis,573,170,12954,2702,5739,647,1692,2055,4047,667,879,1113,2957,4070,714,327,207,642,1128,6718
137,Bobby Simmons,53,2,829,70,210,40,126,30,84,22,27,28,90,118,28,30,6,29,95,202
138,Bogdan Bogdanović,370,161,10549,1924,4371,888,2294,1036,2077,521,633,169,1079,1248,1223,368,91,533,764,5257
139,Bojan Bogdanović,743,599,21495,3939,8588,1522,3889,2417,4699,2029,2339,396,2288,2684,1208,402,57,1235,1236,11429
140,Bol Bol,123,35,1833,315,591,44,150,271,441,102,138,78,390,468,87,36,103,139,121,776
141,Bones Hyland,181,6,3480,686,1713,365,988,321,725,279,329,54,404,458,535,119,50,250,345,2016
142,Bonzie Colson,8,2,98,13,39,5,21,8,18,8,9,8,22,30,3,5,1,3,3,39
143,Boris Diaw,662,330,16868,2186,4503,380,1139,1806,3364,510,701,698,2019,2717,2053,378,265,1083,1275,5262
144,Brad Miller,157,43,3111,391,904,84,254,307,650,270,326,131,509,640,323,76,52,173,297,1136
145,Brad Wanamaker,275,5,4458,498,1219,93,345,405,874,376,416,73,400,473,693,173,50,283,445,1465
146,Bradley Beal,695,661,24091,5624,12235,1514,4070,4110,8165,2629,3196,601,2236,2837,2972,772,284,1708,1542,15391
147,Brandan Wright,491,43,8094,1431,2319,0,11,1431,2308,464,695,678,1131,1809,235,244,503,222,632,3326
148,Branden Dawson,6,0,29,2,5,0,0,2,5,1,1,2,2,4,0,0,1,0,2,5
149,Brandon Bass,548,278,12849,2017,4010,12,47,2005,3963,1079,1298,859,1764,2623,501,241,366,529,1051,5125
150,Brandon Boston Jr.,73,1,1008,176,447,46,140,130,307,88,110,24,117,141,71,35,13,43,64,486
151,Brandon Clarke,237,29,5051,1069,1770,49,169,1020,1601,347,492,416,909,1325,334,165,204,177,437,2534
152,Brandon Davies,105,12,1421,164,402,18,78,146,324,82,127,114,161,275,88,60,22,93,210,428
153,Brandon Goodwin,133,11,1609,230,590,79,251,151,339,89,122,34,177,211,251,54,5,104,130,628
154,Brandon Ingram,413,374,13618,2873,6191,558,1535,2315,4656,1620,2067,301,1841,2142,1674,292,229,1036,1008,7924
155,Brandon Jennings,684,449,19514,3054,7938,1044,3055,2010,4883,1558,1973,374,1577,1951,3716,778,109,1388,1169,8710
156,Brandon Knight,578,439,16435,2793,6814,926,2610,1867,4204,1308,1612,278,1451,1729,2247,507,90,1347,1105,7820
157,Brandon Paul,64,2,576,55,127,15,54,40,73,22,43,6,62,68,37,25,7,29,58,147
158,Brandon Roy,117,93,3851,711,1596,111,344,600,1252,467,588,104,316,420,457,101,28,191,217,2000
159,Brandon Rush,406,144,8761,977,2286,444,1091,533,1195,242,342,153,1027,1180,402,184,225,325,492,2640
160,Brandon Sampson,14,2,214,28,60,11,29,17,31,4,6,3,13,16,10,8,3,12,19,71
161,Brandon Williams,24,16,640,105,282,31,106,74,176,68,97,19,55,74,94,24,10,58,52,309
162,Braxton Key,25,0,403,67,145,12,42,55,103,16,28,26,75,101,22,20,22,22,52,162
163,Brendan Haywood,363,214,8468,905,1679,0,4,905,1675,450,842,955,1494,2449,155,110,503,355,827,2260
164,Brian Bowen,12,1,46,4,14,0,3,4,11,1,1,1,9,10,0,0,1,1,4,9
165,Brian Cardinal,129,4,1162,71,191,55,145,16,46,39,42,21,101,122,80,41,12,32,176,236
166,Brian Cook,119,0,1043,141,389,56,188,85,201,38,51,40,191,231,36,24,23,53,176,376
167,Brian Roberts,365,59,5677,827,1996,232,652,595,1344,378,417,64,399,463,775,142,21,295,403,2264
168,Brian Scalabrine,98,3,682,53,134,17,61,36,73,7,12,18,59,77,48,17,14,31,86,130
169,Brian Skinner,19,1,133,10,26,0,0,10,26,6,8,9,18,27,0,3,4,7,21,26
170,Briante Weber,90,8,1222,116,284,10,52,106,232,44,60,48,124,172,128,78,18,64,112,286
171,Brice Johnson,39,0,205,42,91,0,2,42,89,6,10,19,46,65,5,20,13,11,26,90
172,Brodric Thomas,76,2,858,86,234,34,127,52,107,65,97,18,98,116,71,31,21,50,87,271
173,Brook Lopez,864,831,26064,5472,11074,788,2276,4684,8798,2686,3376,1706,3556,5262,1259,496,1572,1441,2249,14418
174,Bruce Brown,349,212,8588,1172,2431,203,596,969,1835,432,577,383,1098,1481,841,325,196,379,851,2979
175,Bruno Caboclo,147,20,1644,209,522,71,251,138,271,69,82,112,238,350,88,54,80,86,174,558
176,Bruno Fernando,227,21,2054,311,577,7,51,304,526,144,221,227,433,660,135,36,110,141,326,773
177,Bryce Cotton,31,0,237,37,89,7,26,30,63,15,18,3,15,18,21,10,0,22,10,96
178,Bryce Dejean-Jones,14,11,279,28,69,12,32,16,37,11,21,8,40,48,15,10,2,11,17,79
179,Bryce McGowens,46,7,787,80,202,26,80,54,122,60,80,20,73,93,54,15,6,43,48,246
180,Bryn Forbes,506,169,9868,1590,3658,842,2052,748,1606,417,496,79,732,811,598,188,19,353,689,4439
181,Buddy Boeheim,10,0,90,5,27,4,25,1,2,2,2,2,4,6,4,2,0,0,6,16
182,Buddy Hield,711,456,20544,3961,9215,2115,5335,1846,3880,901,1049,516,2509,3025,1755,586,196,1215,1444,10938
183,Byron Mullens,234,66,3860,630,1531,144,437,486,1094,183,265,224,658,882,167,89,109,214,399,1587
184,C.J. Miles,710,206,15252,2556,6337,1212,3382,1344,2955,989,1220,286,1502,1788,749,531,240,626,1506,7313
185,C.J. Watson,491,86,9842,1216,2954,414,1117,802,1837,650,814,166,766,932,1244,448,63,540,738,3496
186,C.J. Wilcox,66,0,376,50,135,19,57,31,78,13,16,6,25,31,30,15,4,18,30,132
187,C.J. Williams,53,17,835,104,232,27,94,77,138,13,17,13,51,64,55,37,13,25,79,248
188,CJ Elleby,88,28,1366,146,374,44,160,102,214,71,99,77,182,259,97,41,22,61,143,407
189,CJ McCollum,727,630,23418,5479,12075,1761,4464,3718,7611,1560,1965,480,2158,2638,2788,666,283,1337,1528,14279
190,Cade Cunningham,76,76,2488,522,1255,131,424,391,831,178,211,70,358,428,428,88,50,273,234,1353
191,Caleb Houstan,51,4,812,66,182,46,136,20,46,15,18,34,65,99,30,12,7,18,63,193
192,Caleb Martin,202,65,4584,595,1298,199,553,396,745,220,291,199,554,753,271,178,80,178,343,1609
193,Caleb Swanigan,123,5,1121,116,260,3,26,113,234,42,70,103,279,382,98,23,19,128,217,277
194,Cam Reddish,262,109,6305,917,2257,338,1032,579,1225,498,582,143,563,706,332,267,95,338,464,2670
195,Cam Thomas,124,6,2124,419,959,98,307,321,652,238,279,24,232,256,156,53,15,118,121,1174
196,Cameron Bairstow,36,3,167,16,54,1,5,15,49,11,13,10,26,36,7,4,4,7,27,44
197,Cameron Johnson,267,118,6820,1104,2443,595,1508,509,935,396,470,192,837,1029,410,230,80,193,452,3199
198,Cameron McGriff,3,0,46,5,14,2,6,3,8,2,2,6,9,15,3,0,1,0,7,14
199,Cameron Oliver,6,0,130,29,48,5,16,24,32,3,7,7,20,27,8,3,5,3,16,66
200,Cameron Payne,398,69,7136,1173,2828,402,1133,771,1695,287,354,115,735,850,1280,263,84,483,680,3035
201,Cameron Reynolds,29,0,339,45,114,27,75,18,39,8,9,8,33,41,17,6,2,5,30,125
202,Caris LeVert,497,298,14264,2805,6408,731,2155,2074,4253,1139,1526,365,1561,1926,2037,532,184,935,1050,7480
203,Carl Landry,558,148,13823,2555,4879,9,33,2546,4846,1688,2145,1127,1671,2798,424,268,260,754,1374,6807
204,Carldell Johnson,15,0,119,11,35,4,15,7,20,1,3,1,8,9,22,8,0,7,11,27
205,Carlik Jones,17,0,102,8,33,3,8,5,25,9,12,3,8,11,16,4,0,8,2,28
206,Carlos Arroyo,200,121,3955,418,921,69,163,349,758,154,184,66,270,336,475,78,8,174,244,1059
207,Carlos Boozer,429,384,12882,2858,5648,0,5,2858,5643,986,1372,848,3040,3888,909,352,140,898,1263,6702
208,Carlos Delfino,245,164,7095,932,2318,483,1309,449,1009,239,298,113,909,1022,572,303,48,314,423,2586
209,Carmelo Anthony,892,752,30152,6939,15738,1517,4117,5422,11621,4096,4936,1228,4413,5641,2276,788,491,1883,2433,19491
210,Caron Butler,525,366,14820,2274,5440,614,1677,1660,3763,949,1138,383,1786,2169,767,509,115,690,1086,6111
211,Carrick Felix,7,0,38,7,14,2,5,5,9,3,4,1,5,6,4,0,0,4,4,19
212,Carsen Edwards,72,1,706,98,269,46,155,52,114,25,33,11,68,79,52,21,5,27,63,267
213,Cartier Martin,287,22,4345,563,1421,284,753,279,668,203,277,119,489,608,157,127,31,172,403,1613
214,Casper Ware,9,0,116,18,42,7,21,11,21,5,6,0,9,9,10,8,0,5,11,48
215,Cassius Stanley,33,1,248,32,89,7,30,25,59,17,19,13,26,39,5,6,4,7,31,88
216,Cassius Winston,29,0,137,18,44,10,23,8,21,9,10,0,10,10,19,2,1,8,17,55
217,Cat Barber,3,0,13,0,4,0,0,0,4,0,4,1,2,3,3,0,0,1,1,0
218,Cedi Osman,404,183,9546,1421,3327,628,1777,793,1550,468,655,191,1040,1231,814,276,60,436,801,3938
219,Cedric Jackson,24,0,148,12,40,2,12,10,28,14,24,4,12,16,28,6,4,22,14,40
220,Chance Comanche,1,0,21,3,5,0,0,3,5,1,4,2,1,3,0,0,1,0,0,7
221,Chandler Hutchison,128,26,2136,255,592,42,132,213,460,113,168,61,393,454,96,74,23,96,173,665
222,Chandler Parsons,440,369,13246,2129,4611,687,1844,1442,2767,626,878,356,1616,1972,1201,412,152,657,865,5571
223,Channing Frye,735,384,16111,2250,5165,1159,2986,1091,2179,537,636,437,2671,3108,772,392,449,570,1721,6196
224,Charles Bassey,58,2,676,117,182,3,12,114,170,31,49,97,158,255,54,21,50,49,106,268
225,Charles Cooke,13,0,38,2,14,1,8,1,6,1,2,0,2,2,1,1,0,1,0,6
226,Charles Jenkins,169,30,1775,228,533,5,24,223,509,58,83,24,108,132,258,63,10,102,129,519
227,Charlie Bell,90,39,1782,181,486,79,221,102,265,50,71,37,113,150,117,45,13,60,149,491
228,Charlie Brown Jr.,63,5,547,39,140,10,54,29,86,32,35,33,52,85,23,26,12,19,58,120
229,Charlie Villanueva,382,32,6309,1196,2871,473,1358,723,1513,278,375,253,1031,1284,210,165,183,252,670,3143
230,Chase Budinger,473,52,8927,1292,3005,437,1258,855,1747,448,569,281,1109,1390,537,245,75,354,547,3469
231,Chasson Randle,145,7,2218,263,654,122,341,141,313,168,202,29,175,204,244,67,12,127,236,816
232,Chauncey Billups,278,266,8444,1240,2989,544,1396,696,1593,1374,1505,85,633,718,1354,253,42,620,535,4398
233,Chaundee Brown Jr.,10,4,208,20,64,12,36,8,28,10,12,2,30,32,8,4,0,2,14,62
234,Cheick Diallo,183,3,2186,401,673,2,7,399,666,154,199,179,580,759,78,56,73,117,273,958
235,Chima Moneke,2,0,8,1,2,0,0,1,2,0,2,2,0,2,1,0,0,2,2,2
236,Chimezie Metu,209,26,2706,466,947,79,265,387,682,179,237,133,581,714,151,96,79,147,254,1190
237,Chinanu Onuaku,6,1,74,7,12,0,0,7,12,4,4,3,11,14,4,3,1,7,10,18
238,Chris Andersen,393,51,6983,736,1267,17,63,719,1204,619,915,613,1314,1927,167,193,482,241,719,2108
239,Chris Babb,14,0,132,8,30,6,27,2,3,0,0,4,13,17,3,6,0,3,13,22
240,Chris Bosh*,454,454,15647,3195,6393,263,764,2932,5629,1939,2414,763,2812,3575,846,376,400,850,1000,8592
241,Chris Boucher,307,23,5649,992,2042,270,809,722,1233,534,685,576,1077,1653,145,159,335,164,628,2788
242,Chris Chiozza,119,6,1439,167,457,86,244,81,213,25,30,31,139,170,300,63,15,113,127,445
243,Chris Clemons,33,0,291,57,142,37,107,20,35,10,11,4,26,30,27,9,6,19,26,161
244,Chris Copeland,171,26,2111,366,858,154,422,212,436,112,149,65,207,272,107,32,30,129,237,998
245,Chris Douglas-Roberts,178,58,3796,493,1133,81,243,412,890,288,346,69,353,422,202,116,48,169,253,1355
246,Chris Duarte,101,51,2438,391,954,149,429,242,525,151,184,60,281,341,178,81,19,131,160,1082
247,Chris Duhon,227,82,4892,349,906,186,520,163,386,105,154,62,338,400,780,130,15,292,240,989
248,Chris Hunter,60,9,783,109,217,0,4,109,213,52,69,56,111,167,37,13,35,30,132,270
249,Chris Johnson,288,8,3710,398,940,132,434,266,506,181,231,153,401,554,126,140,102,158,413,1109
250,Chris Kaman,350,204,8427,1824,3730,1,14,1823,3716,551,729,631,1771,2402,452,137,366,703,783,4200
251,Chris McCullough,75,4,612,94,215,16,56,78,159,26,47,50,81,131,17,32,21,23,61,230
252,Chris Paul,914,914,30616,5643,11938,1386,3703,4257,8235,3256,3699,495,3529,4024,8535,1818,171,2112,2157,15928
