,Player,Game,Games Started,Minutes Played,Field Goals,Field Goals Attempted,Three Point Field Goals,Three Pointers Attempted,Two Point Field Goals,Two Pointers Attempted,Free Throws Made,Free Throws Attempted,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
1364,Rudy Gay,1030,724,31731,6210,13826,1064,3114,5146,10712,3010,3711,1317,4580,5897,2298,1159,695,2134,2234,16494
1365,Rudy Gobert,681,589,20449,3156,4826,0,14,3156,4812,2219,3474,2254,5679,7933,894,468,1452,1130,1789,8531
1366,Rui Hachimura,273,136,7116,1319,2742,227,667,1092,2075,462,605,258,1074,1332,333,142,76,260,422,3327
1367,Russ Smith,39,0,196,23,72,5,27,18,45,32,39,3,18,21,27,11,1,31,31,83
1368,Russell Westbrook,1085,987,37010,8750,19892,1285,4189,7465,15703,5575,7238,1690,6298,7988,9278,1741,363,4424,2819,24360
1369,Ryan Anderson,608,267,15779,2616,6195,1265,3342,1351,2853,1080,1266,1161,1995,3156,553,292,198,557,1131,7577
1370,Ryan Arcidiacono,257,44,4065,367,882,189,508,178,374,134,166,53,406,459,506,125,7,140,371,1057
1371,Ryan Bowen,1,0,8,1,1,0,0,1,1,2,2,1,1,2,0,1,0,0,2,4
1372,Ryan Broekhoff,59,1,633,79,185,58,144,21,41,22,27,13,93,106,33,11,8,22,50,238
1373,Ryan Gomes,189,128,4764,568,1340,150,441,418,899,173,222,151,516,667,255,140,28,166,353,1459
1374,Ryan Hollins,462,92,5955,666,1116,0,1,666,1115,482,753,428,657,1085,148,84,240,378,963,1814
1375,Ryan Kelly,163,59,3125,324,857,102,323,222,534,231,290,77,427,504,215,79,84,106,309,981
1376,Ryan Reid,5,0,17,4,5,0,0,4,5,0,0,1,1,2,0,0,0,1,1,8
1377,Ryan Rollins,12,0,62,7,20,3,9,4,11,6,6,3,9,12,6,1,1,16,10,23
1378,Saben Lee,135,9,2131,266,629,44,143,222,486,201,274,64,210,274,415,106,27,139,184,777
1379,Saddiq Bey,306,209,8871,1435,3499,688,1906,747,1593,744,877,346,1137,1483,564,265,56,298,484,4302
1380,Salah Mejri,204,22,2430,280,464,12,41,268,423,121,205,259,549,808,94,72,190,123,382,693
1381,Sam Dekker,248,13,3885,571,1200,108,371,463,829,131,216,244,511,755,206,139,44,122,248,1381
1382,Sam Hauser,106,8,1448,203,446,159,379,44,67,12,17,40,193,233,81,30,23,32,106,577
1383,Sam Merrill,41,2,350,49,118,33,88,16,30,8,10,7,39,46,30,12,1,12,23,139
1384,Sam Young,284,54,4341,605,1393,54,192,551,1201,286,386,183,452,635,195,151,63,220,334,1550
1385,Samardo Samuels,109,11,1722,237,532,0,4,237,528,164,251,148,218,366,45,38,41,115,231,638
1386,Samuel Dalembert,386,283,8431,1161,2245,1,5,1160,2240,448,606,967,1915,2882,252,187,566,517,1009,2771
1387,Sandro Mamukelashvili,127,17,1727,251,575,82,250,169,325,96,136,175,277,452,146,37,33,85,132,680
1388,Santi Aldama,109,20,2042,300,657,100,314,200,343,128,176,118,340,458,118,51,58,76,179,828
1389,Sasha Kaun,25,0,95,9,17,0,0,9,17,5,11,12,14,26,3,4,5,7,11,23
1390,Sasha Pavlović,217,22,2656,259,691,94,298,165,393,26,60,25,284,309,140,87,40,111,265,638
1391,Sasha Vujačić,306,64,5197,694,1772,295,824,399,948,239,288,123,539,662,441,176,21,212,461,1922
1392,Scott Machado,10,0,40,7,12,1,2,6,10,3,3,0,1,1,9,3,0,8,2,18
1393,Scottie Barnes,151,150,5295,922,1948,121,417,801,1531,348,461,374,695,1069,627,163,116,290,362,2313
